#,Variable,Description,Value,Label,,,
,,,99,Missing,,,
34,intxplt,"Time from HCT to platelet recovery, months",Continuous,,,,
35,agvhd24,AGVHD II-IV (computed maximum grade),0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
36,dwoagvhd24,Dead without grade II-IV aGVHD,0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
37,intxagvhd24,"Time from HCT to diagnosis of aGVHD for cases with max grade II-IV, second transplant/DCI or follow-up, months",Continuous,,,,
38,agvhd34,AGVHD III-IV (computed maximum grade),0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
39,dwoagvhd34,Dead without grade III-IV aGVHD,0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
40,intxagvhd34,"Time from HCT to diagnosis of aGVHD for cases with max grade III-IV, second transplant/DCI or follow-up, months",Continuous,,,,
41,cgvhd,Chronic GVHD,0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
42,dwocgvhd,Dead without chronic GVHD,0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
43,intxcgvhd,"Time from HCT to diagnosis of chronic GVHD, second transplant/DCI or follow-up, months",Continuous,,,,
44,dfs,Disease-free survival,0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
45,trm,Non-relapse mortality,0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
46,rel,Relapse,0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
47,intxrel,Time from HCT to relapse / death,Continuous,,,,
48,dead,Dead,0,Censoring,,,
,,,1,Event,,,
49,intxsurv,"Time from HCT to last follow-up, months",Continuous,,,,
50,pgf ,Primary graft failure (ANC recovery by day 28),0,Censoring,,,
,,,1,Event,,,
,,,99,Missing,,,
